country,year,immigration_rate
canada,1962,178066
canada,1967,608528
canada,1972,771526
canada,1977,438027
canada,1982,376129
canada,1987,875013
canada,1992,698764
canada,1997,761611
canada,2002,1026702
canada,2007,1229905
canada,2012,1145721
canada,2017,1100000
switzerland,1962,276181
switzerland,1967,92978
switzerland,1972,25185
switzerland,1977,-135365
switzerland,1982,81040
switzerland,1987,130857
switzerland,1992,247406
switzerland,1997,65218
switzerland,2002,186125
switzerland,2007,344872
switzerland,2012,397267
switzerland,2017,250000
chile,1962,-44994
chile,1967,-40584
chile,1972,-62525
chile,1977,-76611
chile,1982,-63513
chile,1987,-20953
chile,1992,13650
chile,1997,23454
chile,2002,37362
chile,2007,59383
chile,2012,80820
chile,2017,85285
china,1962,-1131180
china,1967,-160289
china,1972,-1081485
china,1977,-47190
china,1982,-200840
china,1987,-420046
china,1992,-764123
china,1997,-383389
china,2002,-2030083
china,2007,-2390895
china,2012,-1698448
china,2017,-1624595
cameroon,1962,0
cameroon,1967,-1000
cameroon,1972,-2500
cameroon,1977,0
cameroon,1982,-16500
cameroon,1987,-19500
cameroon,1992,-48000
cameroon,1997,-48000
cameroon,2002,-54000
cameroon,2007,-54000
cameroon,2012,-36000
cameroon,2017,-24000
"congo,_dem._rep.",1962,122650
"congo,_dem._rep.",1967,241910
"congo,_dem._rep.",1972,27450
"congo,_dem._rep.",1977,100685
"congo,_dem._rep.",1982,-446860
"congo,_dem._rep.",1987,74515
"congo,_dem._rep.",1992,1302404
"congo,_dem._rep.",1997,-1006384
"congo,_dem._rep.",2002,-241564
"congo,_dem._rep.",2007,-43426
"congo,_dem._rep.",2012,15060
"congo,_dem._rep.",2017,119303
"congo,_rep.",1962,0
"congo,_rep.",1967,500
"congo,_rep.",1972,6944
"congo,_rep.",1977,-7407
"congo,_rep.",1982,2098
"congo,_rep.",1987,2000
"congo,_rep.",1992,22530
"congo,_rep.",1997,49302
"congo,_rep.",2002,49674
"congo,_rep.",2007,95864
"congo,_rep.",2012,-60001
"congo,_rep.",2017,-20003
colombia,1962,-253998
colombia,1967,-281000
colombia,1972,-289998
colombia,1977,-286998
colombia,1982,-273997
colombia,1987,-254001
colombia,1992,-223998
colombia,1997,-190000
colombia,2002,-159003
colombia,2007,-143000
colombia,2012,-144998
colombia,2017,-147004
comoros,1962,-8491
comoros,1967,-5500
comoros,1972,-5500
comoros,1977,10000
comoros,1982,-4500
comoros,1987,-4500
comoros,1992,-3000
comoros,1997,-6000
comoros,2002,-10000
comoros,2007,-10000
comoros,2012,-10000
comoros,2017,-10000
cabo_verde,1962,-1167
cabo_verde,1967,4267
cabo_verde,1972,-34907
cabo_verde,1977,-27982
cabo_verde,1982,-20313
cabo_verde,1987,-27757
cabo_verde,1992,-6376
cabo_verde,1997,-5438
cabo_verde,2002,-9859
cabo_verde,2007,-17623
cabo_verde,2012,-11052
cabo_verde,2017,-7392
costa_rica,1962,7905
costa_rica,1967,7827
costa_rica,1972,12638
costa_rica,1977,17425
costa_rica,1982,18876
costa_rica,1987,17417
costa_rica,1992,69202
costa_rica,1997,89527
costa_rica,2002,41792
costa_rica,2007,30339
costa_rica,2012,19658
costa_rica,2017,16384
cuba,1962,-205000
cuba,1967,-250000
cuba,1972,-190000
cuba,1977,-160000
cuba,1982,-270000
cuba,1987,-69999
cuba,1992,-120006
cuba,1997,-132839
cuba,2002,-145629
cuba,2007,-178725
cuba,2012,-73271
cuba,2017,-109998
cyprus,1962,-43025
cyprus,1967,-7843
cyprus,1972,3053
cyprus,1977,-1215
cyprus,1982,-27634
cyprus,1987,17167
cyprus,1992,43195
cyprus,1997,53260
cyprus,2002,57530
cyprus,2007,58658
cyprus,2012,22509
cyprus,2017,25001
czech_republic,1962,24999
czech_republic,1967,-129099
czech_republic,1972,9999
czech_republic,1977,9999
czech_republic,1982,-52946
czech_republic,1987,5671
czech_republic,1992,29999
czech_republic,1997,46002
czech_republic,2002,47402
czech_republic,2007,250889
czech_republic,2012,59997
czech_republic,2017,59997
germany,1962,666962
germany,1967,867574
germany,1972,714153
germany,1977,228894
germany,1982,23
germany,1987,1714683
germany,1992,2659698
germany,1997,695914
germany,2002,804608
germany,2007,43087
germany,2012,1777126
germany,2017,1850000
djibouti,1962,18000
djibouti,1967,25000
djibouti,1972,34997
djibouti,1977,91193
djibouti,1982,9999
djibouti,1987,89998
djibouti,1992,-45000
djibouti,1997,9988
djibouti,2002,-8997
djibouti,2007,-1499
djibouti,2012,6002
djibouti,2017,4501
denmark,1962,2256
denmark,1967,21866
denmark,1972,23256
denmark,1977,14925
denmark,1982,9319
denmark,1987,32839
denmark,1992,65466
denmark,1997,74568
denmark,2002,46306
denmark,2007,87989
denmark,2012,106841
denmark,2017,75998
dominican_republic,1962,-43490
dominican_republic,1967,-56172
dominican_republic,1972,-70824
dominican_republic,1977,-87098
dominican_republic,1982,-118102
dominican_republic,1987,-134470
dominican_republic,1992,-144154
dominican_republic,1997,-150146
dominican_republic,2002,-152553
